Name of Lab,Address,Capacity,States
NCDC National Reference Laboratory,"67 Murtala Mohammed Way, Yaba, Lagos, Nigeria",,Lagos
Virology Laboratory of Lagos University Teaching Hospital,"Lagos University Teaching Hospital, Ishaga Road, Idi-Araba, Lagos, Nigeria.",,Lagos
African Centre of Excellence for Genomics of Infectious Diseases,"Oloki/Akoda Redeemers' University, Ede, Osun State, Nigeria",,Osun
NCDC National Reference Laboratory,"National Reference Laboratory, Gaduwa, Abuja, Nigeria",,Abuja FCT
Irrua Specialist Teaching Hospital,"KM 87 Benin Auchi Rd, Irrua",,Benin
NCDC National Reference Laboratory,"Plot 801, Ebitu Ukiwe Street, Jabi, Abuja, Nigeria",,Abuja
